,Topology,Rod,Node,Edge,LCD,PLD,VSA,GSA,VF,p=65(GPU),p=65(RASPA)
cds+EXEXAH_cds_28_29++E104,cds,EXEXAH_cds_28_29,-1,E104,9.689789999999999,9.689789999999999,1956.1,2556.53,0.5885,207.093628,212.0116492087
cds+EXEXAH_cds_28_29++E110,cds,EXEXAH_cds_28_29,-1,E110,12.28565,12.28565,1880.6,2952.08,0.63715,189.822693,198.1592810553
cds+EXEXAH_cds_28_29++E148,cds,EXEXAH_cds_28_29,-1,E148,11.46338,11.46338,1792.25,2751.89,0.59265,187.983353,193.0790415494
cds+EXEXAH_cds_28_29++E151,cds,EXEXAH_cds_28_29,-1,E151,6.92736,6.92736,1689.01,1818.15,0.4294,191.555969,201.2704105501
cds+EXEXAH_cds_28_29++E152,cds,EXEXAH_cds_28_29,-1,E152,12.97466,12.97466,1870.98,3167.95,0.6277,194.73976100000002,201.2818676891
cds+EXEXAH_cds_28_29++E154,cds,EXEXAH_cds_28_29,-1,E154,9.499239999999999,9.499239999999999,2113.16,2859.75,0.5625,187.54388400000002,193.3992012456
cds+EXEXAH_cds_28_29++E163,cds,EXEXAH_cds_28_29,-1,E163,10.33332,10.33332,1838.2,2330.3,0.5566,207.471802,213.8157084916
cds+EXEXAH_cds_28_29++E170,cds,EXEXAH_cds_28_29,-1,E170,9.612219999999999,9.51544,2386.32,4063.54,0.65385,206.327438,215.2693284027
cds+EXEXAH_cds_28_29++E179,cds,EXEXAH_cds_28_29,-1,E179,9.786010000000001,9.786010000000001,1955.7,2714.3,0.58425,199.251083,206.76242899669998
cds+EXEXAH_cds_28_29++E17,cds,EXEXAH_cds_28_29,-1,E17,9.993030000000001,9.993030000000001,1958.1,2728.9,0.58135,208.910629,213.55038497369998
cds+EXEXAH_cds_28_29++E188,cds,EXEXAH_cds_28_29,-1,E188,10.3742,10.3742,1800.39,2365.07,0.527,191.53143300000002,195.1296557816
cds+EXEXAH_cds_28_29++E1,cds,EXEXAH_cds_28_29,-1,E1,15.05149,15.05149,1770.56,3469.34,0.6936,199.053436,207.93332008939998
cds+EXEXAH_cds_28_29++E20,cds,EXEXAH_cds_28_29,-1,E20,14.2623,14.2623,1886.06,3580.54,0.6829,193.553238,200.7726276037
cds+EXEXAH_cds_28_29++E218,cds,EXEXAH_cds_28_29,-1,E218,8.973989999999997,8.973989999999997,2215.44,3244.48,0.6019,200.246826,205.8629359647
cds+EXEXAH_cds_28_29++E222,cds,EXEXAH_cds_28_29,-1,E222,13.4448,13.4448,1682.7,2790.81,0.64935,192.466064,198.37903417340002
cds+EXEXAH_cds_28_29++E225,cds,EXEXAH_cds_28_29,-1,E225,16.10527,16.10527,2007.9,4424.03,0.7476,190.033707,198.7670211777
cds+EXEXAH_cds_28_29++E234,cds,EXEXAH_cds_28_29,-1,E234,10.27865,10.24265,1957.85,2688.58,0.58165,205.037476,210.96568013720002
cds+EXEXAH_cds_28_29++E2,cds,EXEXAH_cds_28_29,-1,E2,14.03314,14.03314,1936.35,3626.89,0.68735,191.88128700000001,200.4021703764
cds+EXEXAH_cds_28_29++E30,cds,EXEXAH_cds_28_29,-1,E30,11.93962,11.9263,1916.35,3219.88,0.63915,194.582123,200.1469027409
cds+EXEXAH_cds_28_29++E31,cds,EXEXAH_cds_28_29,-1,E31,11.85478,11.85478,1775.42,2618.99,0.6525,191.469406,198.3444633686
cds+EXEXAH_cds_28_29++E32,cds,EXEXAH_cds_28_29,-1,E32,11.79082,11.78384,1714.91,2559.36,0.59965,197.798004,202.6666034626
cds+EXEXAH_cds_28_29++E33,cds,EXEXAH_cds_28_29,-1,E33,14.588270000000001,14.542320000000002,1658.65,3070.16,0.68335,188.667603,195.4058637004
cds+EXEXAH_cds_28_29++E34,cds,EXEXAH_cds_28_29,-1,E34,11.5363,11.5363,1962.25,2978.92,0.6115,210.50711099999998,215.97884635169999
cds+EXEXAH_cds_28_29++E35,cds,EXEXAH_cds_28_29,-1,E35,12.28754,12.27713,1871.11,2901.98,0.62965,197.13630700000002,203.0014851003
cds+EXEXAH_cds_28_29++E38,cds,EXEXAH_cds_28_29,-1,E38,10.0046,10.0046,2036.08,2741.56,0.5977,204.205124,210.9885751053
cds+EXEXAH_cds_28_29++E3,cds,EXEXAH_cds_28_29,-1,E3,10.89299,10.89299,2194.42,3214.05,0.6229,208.838699,215.9661381431
cds+EXEXAH_cds_28_29++E41,cds,EXEXAH_cds_28_29,-1,E41,12.23048,12.23048,2010.1,3543.68,0.69085,196.008865,202.9586701243
cds+EXEXAH_cds_28_29++E47,cds,EXEXAH_cds_28_29,-1,E47,11.83165,11.83165,2021.7,3213.57,0.62875,211.315979,216.77914135540001
cds+EXEXAH_cds_28_29++E4,cds,EXEXAH_cds_28_29,-1,E4,11.73299,11.73299,1973.18,3331.85,0.65965,199.798676,206.1319662793
cds+EXEXAH_cds_28_29++E53,cds,EXEXAH_cds_28_29,-1,E53,9.8493,9.8493,1960.23,2424.35,0.57955,200.139465,205.2304117514
cds+EXEXAH_cds_28_29++E68,cds,EXEXAH_cds_28_29,-1,E68,10.59019,10.59019,2203.68,3079.32,0.6237,211.10577400000003,217.87597111830001
cds+EXEXAH_cds_28_29++E77,cds,EXEXAH_cds_28_29,-1,E77,10.30071,10.30071,2748.19,5044.01,0.6817,205.888168,214.7602001191
cds+EXEXAH_cds_28_29++E78,cds,EXEXAH_cds_28_29,-1,E78,12.84736,12.84736,1676.86,2682.7,0.6082,192.11038200000002,198.1244322672
cds+EXEXAH_cds_28_29++E7,cds,EXEXAH_cds_28_29,-1,E7,13.33585,13.333779999999999,2009.38,3588.28,0.7185,193.725113,201.59022265509998
cds+EXEXAH_cds_28_29++E80,cds,EXEXAH_cds_28_29,-1,E80,11.64428,11.64428,2078.1,3308.44,0.63205,199.260559,207.23580008
cds+EXEXAH_cds_28_29++E81,cds,EXEXAH_cds_28_29,-1,E81,7.68153,7.68153,2240.31,2830.06,0.5459,204.566528,207.49034597029998
cds+EXEXAH_cds_28_29++E8,cds,EXEXAH_cds_28_29,-1,E8,8.74607,8.58183,1957.39,2363.06,0.5588,194.884415,199.3951311632
cds+EXEXAH_cds_28_29++E96,cds,EXEXAH_cds_28_29,-1,E96,8.7483,8.7483,2319.51,3248.66,0.59295,200.220306,208.3242119119
cds+HUSQES_dia_21_22++E130,cds,HUSQES_dia_21_22,-1,E130,7.30444,7.30444,2632.84,2854.96,0.6211,189.881302,197.7999953346
cds+HUSQES_dia_21_22++E137,cds,HUSQES_dia_21_22,-1,E137,7.16944,7.16944,2560.56,2933.6,0.59625,191.300232,198.121513978
cds+HUSQES_dia_21_22++E141,cds,HUSQES_dia_21_22,-1,E141,6.78379,6.78379,2476.8,2399.05,0.5473,188.981842,194.2435083771
cds+HUSQES_dia_21_22++E161,cds,HUSQES_dia_21_22,-1,E161,12.74355,12.74355,2171.1,4184.78,0.7477,189.72515900000002,196.75741951930002
cds+HUSQES_dia_21_22++E221,cds,HUSQES_dia_21_22,-1,E221,8.59003,8.518939999999999,2356.27,3013.82,0.6213,192.109055,197.7283858629
cds+HUSQES_dia_21_22++E32,cds,HUSQES_dia_21_22,-1,E32,13.3029,13.19994,2170.55,4431.04,0.7916,189.709183,197.18516686869998
cds+HUSQES_dia_21_22++E4,cds,HUSQES_dia_21_22,-1,E4,8.20658,8.19994,2530.79,3270.68,0.6712,194.893219,202.1785869696
cds+HUSQES_dia_21_22++E80,cds,HUSQES_dia_21_22,-1,E80,8.00378,8.00378,2581.82,3078.07,0.6353,195.291565,202.9867143234
cds+HUSQES_dia_21_22++E98,cds,HUSQES_dia_21_22,-1,E98,7.32269,7.32269,2248.64,2385.46,0.5608,191.67515600000002,196.8378425383
cds+SOHGUS_cds_16_17++E104,cds,SOHGUS_cds_16_17,-1,E104,12.468539999999999,12.468539999999999,1773.76,2676.34,0.67545,225.835129,232.39911649340002
cds+SOHGUS_cds_16_17++E10,cds,SOHGUS_cds_16_17,-1,E10,15.81541,15.81541,2261.17,5741.97,0.79285,188.82798799999998,199.39534810540002
cds+SOHGUS_cds_16_17++E110,cds,SOHGUS_cds_16_17,-1,E110,13.004430000000001,12.99869,1867.95,3348.37,0.71445,197.646881,206.1121164914
cds+SOHGUS_cds_16_17++E111,cds,SOHGUS_cds_16_17,-1,E111,11.74813,11.74813,2008.89,3733.55,0.7101,201.903854,210.3737220144
cds+SOHGUS_cds_16_17++E113,cds,SOHGUS_cds_16_17,-1,E113,11.95086,11.9329,1878.32,2941.86,0.6524,204.1353,210.3455107434
cds+SOHGUS_cds_16_17++E119,cds,SOHGUS_cds_16_17,-1,E119,9.3309,9.3309,1912.64,2480.77,0.5965,202.519302,207.5000723341
cds+SOHGUS_cds_16_17++E11,cds,SOHGUS_cds_16_17,-1,E11,11.172410000000001,11.172410000000001,1807.96,2565.58,0.63035,225.05937200000002,230.7452483894
cds+SOHGUS_cds_16_17++E121,cds,SOHGUS_cds_16_17,-1,E121,16.511229999999998,16.511229999999998,1561.91,3403.42,0.74325,196.692322,204.3299436261
cds+SOHGUS_cds_16_17++E125,cds,SOHGUS_cds_16_17,-1,E125,9.80772,9.80772,1810.59,2493.75,0.531,192.721848,197.5894113557
cds+SOHGUS_cds_16_17++E128,cds,SOHGUS_cds_16_17,-1,E128,5.59516,5.5899800000000015,1777.31,1707.66,0.4192,191.887924,195.9358051909
cds+SOHGUS_cds_16_17++E138,cds,SOHGUS_cds_16_17,-1,E138,5.54344,5.44168,1944.69,1893.21,0.45045,195.901047,202.5599726149
cds+SOHGUS_cds_16_17++E13,cds,SOHGUS_cds_16_17,-1,E13,7.517710000000001,7.517710000000001,1914.84,2063.13,0.5239,197.01371799999998,202.8392760279
cds+SOHGUS_cds_16_17++E141,cds,SOHGUS_cds_16_17,-1,E141,10.740860000000001,10.74019,2357.16,4233.97,0.69855,200.963837,209.8466950914
cds+SOHGUS_cds_16_17++E148,cds,SOHGUS_cds_16_17,-1,E148,11.92403,11.92077,2095.22,3798.49,0.6859999999999999,204.714752,212.4261977823
cds+SOHGUS_cds_16_17++E14,cds,SOHGUS_cds_16_17,-1,E14,9.2632,9.2632,1907.1,2353.74,0.59255,212.207428,216.78715933689998
cds+SOHGUS_cds_16_17++E150,cds,SOHGUS_cds_16_17,-1,E150,10.60319,10.60319,1865.47,2732.59,0.62025,220.528992,227.44337767169998
cds+SOHGUS_cds_16_17++E152,cds,SOHGUS_cds_16_17,-1,E152,14.7427,14.7427,1633.72,3189.38,0.6982,205.858597,212.43717193380002
cds+SOHGUS_cds_16_17++E154,cds,SOHGUS_cds_16_17,-1,E154,9.50343,9.50343,2254.99,3372.4,0.62165,202.808472,208.5862977107
cds+SOHGUS_cds_16_17++E163,cds,SOHGUS_cds_16_17,-1,E163,10.96412,10.96412,2009.7,2664.09,0.60385,213.86688199999998,222.6546206223
cds+SOHGUS_cds_16_17++E168,cds,SOHGUS_cds_16_17,-1,E168,5.64928,5.42713,1650.88,1562.4,0.4172,197.964828,203.15788351470002
cds+SOHGUS_cds_16_17++E16,cds,SOHGUS_cds_16_17,-1,E16,8.58876,8.58876,1804.87,2021.45,0.51965,201.792664,205.455219705
cds+SOHGUS_cds_16_17++E179,cds,SOHGUS_cds_16_17,-1,E179,11.44553,11.44553,1838.28,2837.85,0.64245,208.444946,214.3458378227
cds+SOHGUS_cds_16_17++E17,cds,SOHGUS_cds_16_17,-1,E17,12.33256,12.33256,1743.6,2765.58,0.66105,227.51049799999998,233.30697965029998
cds+SOHGUS_cds_16_17++E182,cds,SOHGUS_cds_16_17,-1,E182,8.368960000000001,8.08023,2063.74,2262.24,0.58485,213.8078,222.0384548257
cds+SOHGUS_cds_16_17++E186,cds,SOHGUS_cds_16_17,-1,E186,8.9271,8.91622,1851.48,2003.97,0.54695,189.53381299999998,194.9770629154
cds+SOHGUS_cds_16_17++E189,cds,SOHGUS_cds_16_17,-1,E189,10.81149,10.77337,1927.58,2787.52,0.62805,211.896729,219.2726405284
